eqp,eqpQty,remark
Clincher_01,3.000,
Clincher_02,7.000,
HeatStake_01,1.000,
HeatStake_02,1.000,
HeatStake_03,1.000,
HeatStake_04,1.000,
HeatStake_05,1.000,
HeatStake_06,1.000,
HeatStake_07,1.000,
HeatStake_08,1.000,
HeatStake_09,1.000,
HeatStake_10,1.000,
HeatStake_11,1.000,
HydraulicPress_01,26.000,
Tester_01,1.000,
Tester_02,1.000,
Tester_03,1.000,
Tester_04,1.000,
Tester_05,1.000,
Tester_06,1.000,
Tester_07,1.000,
Tester_08,1.000,
Tester_09,1.000,
Tester_10,1.000,
Tester_11,1.000,
Clincher_Subcon,99.000,
Tester_Subcon,99.000,
HeatStake_Subcon,99.000,
HydraulicPress_Subcon,99.000,
